name,abn,total_income,taxable_income,tax_payable,income_year,postcode
AUSTRALIAN COMFORT GROUP HOLDINGS PTY LTD,48143785522,189658270,,,2021-22,3023
AUSTRALIAN COUNTRY CHOICE HOLDINGS PTY LTD,87009729999,964441710,,,2021-22,4172
AUSTRALIAN DAIRY FARMERS CORPORATION LTD,80456117281,174633794,299262.0,89779.0,2021-22,3008
AUSTRALIAN FINANCE GROUP LIMITED,11066385822,940464015,60573521.0,18172056.0,2021-22,6005
AUSTRALIAN FOOD & AGRICULTURE COMPANY LIMITED,38005858293,155123688,5945406.0,1405406.0,2021-22,3000
AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,56004147120,410292355,722529297.0,77508436.0,2021-22,3000
AUSTRALIAN GAS NETWORKS HOLDINGS PTY LIMITED,24169818026,665324337,4890383.0,1467115.0,2021-22,5000
AUSTRALIAN GOLD REAGENTS PTY LTD,93009140121,296101193,,,2021-22,6167
AUSTRALIAN GRAIN EXPORT PTY LTD,92073563185,1299970376,24621033.0,6537266.0,2021-22,5000
AUSTRALIAN LAMB COMPANY PTY LTD,51007340123,633818422,73518001.0,22055400.0,2021-22,3020
AUSTRALIAN LEISURE AND HOSPITALITY GROUP PTY LIMITED,37067391511,5129422667,491299002.0,147389701.0,2021-22,2010
AUSTRALIAN LOGISTICS ACQUISITION HOLDINGS PTY LTD,28611628909,2444889798,,,2021-22,2060
AUSTRALIAN MEAT GROUP PTY LTD,75168396316,572960811,18624927.0,91529.0,2021-22,3175
AUSTRALIAN MOTOR GROUP PTY LTD,67095047902,342439049,26931188.0,8079356.0,2021-22,2076
AUSTRALIAN NATURE INVESTMENT PTY LTD,16611339621,373892678,,,2021-22,3006
AUSTRALIAN PAYMENTS PLUS LTD,19649744203,138893190,,,2021-22,2000
AUSTRALIAN PHARMACEUTICAL INDUSTRIES PTY LTD,57000004320,3230105227,38311997.0,11458591.0,2021-22,3008
AUSTRALIAN POSTAL CORPORATION,28864970579,8859305039,177757850.0,53282395.0,2021-22,3121
AUSTRALIAN RAIL TRACK CORPORATION LIMITED,75081455754,904228521,,,2021-22,5035
AUSTRALIAN REGISTRY FINANCE PTY LTD,38617925916,345119316,,,2021-22,2000
AUSTRALIAN TRAILER SOLUTIONS GROUP PTY LTD,88614717261,233174476,1020619.0,,2021-22,3355
AUSTRALIAN UNITY LIMITED,23087648888,1356622446,20026050.0,,2021-22,3000
AUSTRALIAN VENUE CO. HOLDINGS LIMITED,90619977070,372726455,3226530.0,,2021-22,3004
AUSTRALIAN VINTAGE LIMITED,78052179932,262233374,,,2021-22,5351
AUSTRALIANSUPER PTY LTD,94006457987,233050789,32371420.0,9711426.0,2021-22,3000
